City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
202,Hualmay,PE,2022-04-09 17:34:00,-11.0964,-77.6139,74.19,70,87,9.24
203,Svetlaya,RU,2022-04-09 17:34:01,46.5389,138.3297,31.41,92,19,4.56
204,Bara,NG,2022-04-09 17:34:01,10.3744,10.7288,98.38,22,78,8.1
205,Saskylakh,RU,2022-04-09 17:34:01,71.9167,114.0833,-15.21,97,39,2.35
206,Elko,US,2022-04-09 17:31:41,41.0002,-115.5012,43.23,43,18,5.01
207,Port Blair,IN,2022-04-09 17:34:02,11.6667,92.75,80.64,89,20,2.3
208,Fengrun,CN,2022-04-09 17:34:02,39.8333,118.1167,55.09,73,7,3.67
209,Yenagoa,NG,2022-04-09 17:34:02,4.9247,6.2642,78.39,86,100,5.53
210,Pandan,PH,2022-04-09 17:34:03,14.0453,124.1694,77.9,89,100,8.03
211,Fare,PF,2022-04-09 17:34:03,-16.7,-151.0167,81.9,75,97,20.09
212,Balykshi,KZ,2022-04-09 17:34:04,47.0667,51.8667,55.4,76,75,8.95
213,Hambantota,LK,2022-04-09 17:34:04,6.1241,81.1185,78.89,83,100,10.67
214,Marzuq,YE,2022-04-09 17:34:04,14.4,46.4667,71.35,44,9,9.01
215,Broken Hill,AU,2022-04-09 17:34:05,-31.95,141.4333,60.51,77,1,6.91
216,Nelson Bay,AU,2022-04-09 17:34:05,-32.7167,152.15,64.99,93,42,7.27
217,Roald,NO,2022-04-09 17:34:05,62.5833,6.1333,38.34,87,75,17.27
218,Mushie,CD,2022-04-09 17:34:06,-3.0167,16.9,74.3,91,75,6.8
219,Trincomalee,LK,2022-04-09 17:34:06,8.5711,81.2335,80.73,79,100,4.65
220,Yumen,CN,2022-04-09 17:34:07,40.2833,97.2,53.29,36,46,11.56
221,Gat,IL,2022-04-09 17:34:07,31.61,34.7642,68.4,100,0,8.34
222,Fort-Shevchenko,KZ,2022-04-09 17:34:07,44.5086,50.263,50.47,84,89,4.12
223,Ancud,CL,2022-04-09 17:31:49,-41.8697,-73.8203,52.81,81,100,7.18
224,Hashtrud,IR,2022-04-09 17:34:08,37.4779,47.0508,46.99,74,72,7.81
225,Izhma,RU,2022-04-09 17:34:08,65.0083,53.9113,36.07,98,100,11.72
226,Moron,AR,2022-04-09 17:34:08,-34.6534,-58.6198,80.94,63,0,6.8
227,Tromso,NO,2022-04-09 17:33:06,69.6496,18.957,37.42,65,75,13.8
228,Marsabit,KE,2022-04-09 17:34:09,2.3284,37.9899,75.42,43,66,9.33
229,Wanning,CN,2022-04-09 17:34:09,18.8003,110.3967,68.54,86,32,3.29
230,Bethel,US,2022-04-09 17:34:09,41.3712,-73.414,54.01,80,100,10.36
231,Felanitx,ES,2022-04-09 17:34:10,39.4696,3.1483,64.92,78,68,12.39
232,Williston,US,2022-04-09 17:34:35,48.147,-103.618,52.54,39,98,8.99
233,Kysyl-Syr,RU,2022-04-09 17:35:11,63.8986,122.7617,9.43,95,94,3.98
234,Sur,OM,2022-04-09 17:35:11,22.5667,59.5289,88.74,37,100,8.7
235,Indramayu,ID,2022-04-09 17:35:12,-6.3264,108.32,77.09,85,75,6.73
236,Lazaro Cardenas,MX,2022-04-09 17:35:12,17.9583,-102.2,85.73,44,4,9.28
237,Turukhansk,RU,2022-04-09 17:35:12,65.8167,87.9833,-1.17,100,98,5.39
238,Tandil,AR,2022-04-09 17:35:13,-37.3217,-59.1332,75.97,42,6,8.48
239,Kodiak,US,2022-04-09 17:35:13,57.79,-152.4072,31.51,43,0,14.97
240,Launceston,AU,2022-04-09 17:35:15,-41.45,147.1667,64.8,91,100,16.11
241,Weyburn,CA,2022-04-09 17:31:01,49.6668,-103.8511,46.62,71,100,9.22
242,Hasaki,JP,2022-04-09 17:35:15,35.7333,140.8333,52.2,87,0,7.76
243,Touros,BR,2022-04-09 17:35:15,-5.1989,-35.4608,85.06,69,38,16.58
244,Fairview Heights,US,2022-04-09 17:35:16,38.5889,-89.9904,54.95,40,0,13.8
245,Ampanihy,MG,2022-04-09 17:35:16,-24.7,44.75,72.84,82,27,14.72
246,Grand Gaube,MU,2022-04-09 17:35:16,-20.0064,57.6608,79.2,85,4,3.0
247,Arkhangelsk,RU,2022-04-09 17:35:17,64.5401,40.5433,39.31,70,0,6.71
248,Saint George,US,2022-04-09 17:31:01,37.1041,-113.5841,73.8,17,0,0.0
249,Cabedelo,BR,2022-04-09 17:35:18,-6.9811,-34.8339,88.47,71,58,15.08
