City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
588,Cap Malheureux,MU,80.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
592,Ambanja,MG,87.06,clear sky,-13.6833,48.45,Hotel Salama and Fast Food
597,Kokopo,PG,79.11,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
604,Saldanha,ZA,82.45,clear sky,-33.0117,17.9442,Blue Bay Lodge
611,Celestun,MX,76.91,clear sky,20.8667,-90.4,Posada Lilia
618,Nabire,ID,79.7,heavy intensity rain,-3.3667,135.4833,Hotel Nusantara I
620,Sabang,ID,84.67,overcast clouds,5.8933,95.3214,Hotel Citra
624,Dwarka,IN,85.39,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
632,Idlib,SY,77.99,few clouds,35.9306,36.6339,مركز تسيل للتجميل
637,Ascension,US,75.0,overcast clouds,30.2169,-90.9001,Highland Inn
639,Sampit,ID,85.1,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
641,Noumea,NC,79.0,few clouds,-22.2763,166.4572,Hôtel Le Lagon
647,Pitimbu,BR,81.19,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
657,Labuan,MY,84.56,few clouds,5.2767,115.2417,Tiara Labuan Hotel
661,Kissamos,GR,76.68,broken clouds,35.4939,23.6569,Galini Beach Hotel
663,Beruwala,LK,85.17,broken clouds,6.4788,79.9828,The Palms Hotel
664,Ambulu,ID,81.18,moderate rain,-8.345,113.6058,Hotel Ambulu Jember
667,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
668,Itamaraca,BR,78.85,light rain,-7.7478,-34.8256,Special K's Bed & Breakfast
671,Kuah,MY,89.58,few clouds,6.3265,99.8432,Azio Hotel
